date,tweet
2022-02-25,"IBU Kota Negara (IKN) Nusantara di Penajam Paser Utara, Kalimantan Timur (Kaltim) akan menjadi pusat peradaban baru yang lebih maju, modern dan berwawasan lingkungan.

Sumber: https://t.co/FCmwieJTlt"
2022-02-25,"Sebuah unggahan di medsos menyebutkan bahwa Gubernur DKI Jakarta Anies Baswedan telah ditunjuk menjadi Kepala Otorita Ibu Kota Negara (IKN) Nusantara. Benarkah? #antiHoax 

https://t.co/UqV0MuqWkC"
2022-02-25,"@BennyHarmanID Jauh lebih berharga menjaga demokrasi dibanding membangun Ibu Kota Negara baru, karena demokrasi adalah jantung nya sebuah kedaulatan rakyat, sedangkan IKN hanya memenuhi sebagian kecil hasrat kepentingan pengusaha dan penguasa saja."
2022-02-25,"Ibu Kota Negara Nusantara Usung Konsep Future Smart Forest City

Baca Selengkapnya Disini!
https://t.co/fqXkTQTMcm

#MataIndonesia #IKN #iknnusantara #KonsepKota #FutureSmartForestCity"
2022-02-25,"Bappenas mengatakan perkantoran bagi aparatur sipil negara (ASN) di Ibu Kota Negara (IKN) Nusantara dibangun dengan konsep kantor bersama.

https://t.co/9uDNmtcgbn"
2022-02-25,"RT @atr_bpn Siapkan Pembangunan Ibu Kota Negara, Pemerintah Susun Rencana Kerja dan Pastikan Status Kawasan Inti dan Pengembangan IKN Clean and Clear.

Berita selengkapnya kunjungi https://t.co/kiyIBGQ9DV https://t.co/TjBmxuZBz9"
2022-02-25,"Konsep Gubernur DKI Jakarta Anies Baswedan dalam menangkal banjir akan dipakai di ibu kota negara (IKN) Nusantara di Kalimantan Timur, efektifkah?  https://t.co/SDxRfxr3hp"
2022-02-25,"""Pemindahan Ibu Kota Negara (IKN) ternyata membuat sebagian pegawai negeri sipil (PNS) was-was. Bahkan mulai ada permintaan pemindahan dari PNS Kementerian Lembaga (KL) ke pemerintah daerah (Pemda) DKI Jakarta, Bogor maupun Tangerang Selatan"" https://t.co/OqUOnZB4UC"
2022-02-25,Pegawai Negeri Sipil (PNS) yang pindah ke ibu kota negara (IKN) baru bakal dapat segudang fasilitas dari negara. https://t.co/HAcpifkDn7
2022-02-25,"Ketua DPR RI Puan Maharani meminta Presiden Joko Widodo harus cermat memilih Kepala Otorita Ibu Kota Negara (IKN) sehingga harus memperhatikan kualifikasi calon dalam mengemban amanah.

https://t.co/Zl2aimsGd0 #pdiperjuangan"
2022-02-25,Keberadaan Ibu Kota Negara (IKN) Nusantara diyakini akan mendorong percepatan pertumbuhan ekonomi. Hal ini karena diantaranya memiliki enam klaster ekonomi dan dua klaster pendukung. https://t.co/4lBMlPrtMv
2022-02-25,"Keyakinan, harapan, dan aneka pandangan menyeruak di tengah perbincangan mengenai rencana pembangunan Ibu Kota Negara Nusantara. IKN Nusantara digadang dapat menunjukkan kebesaran bangsa Indonesia. #Nusantara #AdadiKompas

https://t.co/rcxNncNMwf"
2022-02-25,"Repost @atr_bpn Siapkan Pembangunan Ibu Kota Negara, Pemerintah Susun Rencana Kerja dan Pastikan Status Kawasan Inti dan Pengembangan IKN Clean and Clear.

Berita selengkapnya kunjungi https://t.co/lEKAsL4teK https://t.co/qtckIpWF5M"
2022-02-25,@tvOneNews Wajar aja Anggaran Negara kan sudah untuk buat IKN Ibu Kota Baru diKalTim..
2022-02-25,"Pemindahan Ibu Kota Negara Adalah Menciptakan Dorongan Investasi Yang Lebih Luas Pada Wilayah Lain

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/RfV3oIJWbQ"
2022-02-25,"Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) Basuki Hadimuljono menjelaskan, pemerintah akan membangun Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur secara berkelanjutan.

@jokowi
@erickthohir 
https://t.co/afBKVDzver"
2022-02-25,"Tak hanya itu, desain istana Ibu Kota Negara (IKN) yang berbentuk burung Garuda telah disetujui Presiden dan telah dipublikasikan di Istana Merdeka pada 3 Januari 2022 lalu. Sebuah nama pun telah dipilih, yakni ""Nusantara""."
2022-02-25,"Dukung Pemindahan Ibu Kota Negara Nusantara Sebagai Wujud Pemerataan Pembangunan Di Indonesia

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/Suozq6QBBF"
2022-02-25,"Pemindahan ibu kota sangat penting dalam upaya mendorong perekonomian negara.
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/i9bPOFazuy"
2022-02-25,"Kepala Staf Kepresidenan (KSP) Moeldoko menjanjikan proyek besar Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur tak sampai meminggirkan masyarakat lokal yang telah bernaung terlebih dulu di wilayah tersebut. 
@Dr_Moeldoko 
@KSPgoid 

https://t.co/Y6kRw5NrW1"
